NM_001010975.1	Ant	ADP/ATP translocase
XR_001702594.1	LOC100577620	uncharacterized LOC100577620
XR_001702595.1	LOC100577620	uncharacterized LOC100577620
XR_001702596.1	LOC100577620	uncharacterized LOC100577620
XR_001702597.1	LOC107964225	uncharacterized LOC107964225
XR_001702598.1	LOC107964226	uncharacterized LOC107964226
XR_001702599.1	LOC107964226	uncharacterized LOC107964226
XR_001702600.1	LOC102653826	uncharacterized LOC102653826
XR_001702601.1	LOC102653826	uncharacterized LOC102653826
XR_001702602.1	LOC102653751	uncharacterized LOC102653751
XR_001702603.1	LOC102653751	uncharacterized LOC102653751
XR_001702604.1	LOC107964227	uncharacterized LOC107964227
XR_001702605.1	LOC100577178	uncharacterized LOC100577178
XR_001702606.1	LOC107964228	uncharacterized LOC107964228
XR_001702607.1	LOC107964229	uncharacterized LOC107964229
XR_001702608.1	LOC107964230	uncharacterized LOC107964230
XR_001702609.1	LOC107964231	uncharacterized LOC107964231
XR_001702610.1	LOC102656892	uncharacterized LOC102656892
XR_001702611.1	LOC107964232	uncharacterized LOC107964232
XR_001702612.1	LOC107964233	uncharacterized LOC107964233
XR_001702613.1	LOC726365	uncharacterized LOC726365
XR_001702614.1	LOC726365	uncharacterized LOC726365
XR_001702615.1	LOC107964234	uncharacterized LOC107964234
XR_001702616.1	LOC102656223	uncharacterized LOC102656223
XR_001702617.1	LOC102655094	uncharacterized LOC102655094
XR_001702618.1	LOC102655377	uncharacterized LOC102655377
XR_001702619.1	LOC102655377	uncharacterized LOC102655377
XR_001702620.1	LOC102655377	uncharacterized LOC102655377
XR_001702621.1	LOC102655377	uncharacterized LOC102655377
XR_001702622.1	LOC102655377	uncharacterized LOC102655377
XR_001702623.1	LOC107964235	uncharacterized LOC107964235
XR_001702624.1	LOC100577538	uncharacterized LOC100577538
XR_001702625.1	LOC100577538	uncharacterized LOC100577538
XR_001702626.1	LOC100577538	uncharacterized LOC100577538
XR_001702627.1	LOC100577538	uncharacterized LOC100577538
XR_001702628.1	LOC100577538	uncharacterized LOC100577538
XR_001702629.1	LOC100577538	uncharacterized LOC100577538
XR_001702630.1	LOC100577538	uncharacterized LOC100577538
XR_001702631.1	LOC100577538	uncharacterized LOC100577538
XR_001702632.1	LOC100577721	uncharacterized LOC100577721
XR_001702633.1	LOC107964237	uncharacterized LOC107964237
XR_001702634.1	LOC107964238	uncharacterized LOC107964238
XR_001702635.1	LOC102654314	uncharacterized LOC102654314
XR_001702636.1	LOC107964253	uncharacterized LOC107964253
XR_001702637.1	LOC107964253	uncharacterized LOC107964253
XR_001702638.1	LOC107964254	uncharacterized LOC107964254
XR_001702639.1	LOC107964254	uncharacterized LOC107964254
XR_001702640.1	LOC107964255	uncharacterized LOC107964255
XR_001702641.1	Or130	odorant receptor 130
XR_001702642.1	Or130	odorant receptor 130
XR_001702643.1	LOC100577798	uncharacterized LOC100577798
XR_001702644.1	LOC100577798	uncharacterized LOC100577798
XR_001702645.1	LOC100577798	uncharacterized LOC100577798
XR_001702646.1	LOC100577798	uncharacterized LOC100577798
XR_001702647.1	LOC100577798	uncharacterized LOC100577798
XR_001702648.1	LOC100577798	uncharacterized LOC100577798
XR_001702649.1	LOC100577798	uncharacterized LOC100577798
XR_001702650.1	LOC100577798	uncharacterized LOC100577798
XR_001702651.1	LOC100577798	uncharacterized LOC100577798
XR_001702652.1	LOC100577798	uncharacterized LOC100577798
XR_001702653.1	LOC100577798	uncharacterized LOC100577798
XR_001702654.1	LOC107964256	uncharacterized LOC107964256
XR_001702655.1	LOC107964257	uncharacterized LOC107964257
XR_001702656.1	LOC107964263	uncharacterized LOC107964263
XR_001702657.1	LOC107964264	uncharacterized LOC107964264
XR_001702658.1	LOC107964264	uncharacterized LOC107964264
XR_001702659.1	LOC726602	centrosomal protein of 89 kDa-like
XR_001702660.1	LOC726602	centrosomal protein of 89 kDa-like
XR_001702661.1	LOC107964265	uncharacterized LOC107964265
XR_001702662.1	LOC107964266	uncharacterized LOC107964266
XR_001702663.1	LOC107964266	uncharacterized LOC107964266
XR_001702664.1	LOC107964266	uncharacterized LOC107964266
XR_001702665.1	LOC107964266	uncharacterized LOC107964266
XR_001702666.1	LOC107964266	uncharacterized LOC107964266
XR_001702667.1	LOC725546	DDB1- and CUL4-associated factor 6-like
XR_001702668.1	LOC107964267	uncharacterized LOC107964267
XR_001702669.1	LOC107964268	uncharacterized LOC107964268
XR_001702670.1	LOC107964268	uncharacterized LOC107964268
XR_001702671.1	LOC107964268	uncharacterized LOC107964268
XR_001702672.1	LOC107964268	uncharacterized LOC107964268
XR_001702673.1	LOC102654974	uncharacterized LOC102654974
XR_001702674.1	LOC102654974	uncharacterized LOC102654974
XR_001702675.1	LOC102654974	uncharacterized LOC102654974
XR_001702676.1	LOC107964270	uncharacterized LOC107964270
XR_001702677.1	LOC107964269	uncharacterized LOC107964269
XR_001702678.1	LOC107964271	uncharacterized LOC107964271
XR_001702679.1	LOC107964272	uncharacterized LOC107964272
XR_001702680.1	LOC107964272	uncharacterized LOC107964272
XR_001702681.1	LOC107964273	uncharacterized LOC107964273
XR_001702682.1	LOC107964274	uncharacterized LOC107964274
XR_001702683.1	LOC107964275	uncharacterized LOC107964275
XR_001702684.1	LOC102655779	uncharacterized LOC102655779
XR_001702685.1	LOC102655779	uncharacterized LOC102655779
XR_001702686.1	LOC102655779	uncharacterized LOC102655779
XR_001702687.1	LOC102655779	uncharacterized LOC102655779
XR_001702688.1	LOC102655779	uncharacterized LOC102655779
XR_001702689.1	LOC102655878	uncharacterized LOC102655878
XR_001702690.1	LOC102655878	uncharacterized LOC102655878
XR_001702691.1	LOC107964276	uncharacterized LOC107964276
XR_001702692.1	LOC107964277	uncharacterized LOC107964277
XR_001702693.1	LOC411047	intraflagellar transport protein 88 homolog
XR_001702694.1	LOC411047	intraflagellar transport protein 88 homolog
XR_001702695.1	LOC411047	intraflagellar transport protein 88 homolog
XR_001702696.1	LOC107964278	uncharacterized LOC107964278
XR_001702697.1	LOC107964279	uncharacterized LOC107964279
XR_001702698.1	LOC107964280	uncharacterized LOC107964280
XR_001702699.1	LOC411049	glutamate receptor ionotropic, kainate 2
XR_001702700.1	LOC107964281	uncharacterized LOC107964281
XR_001702701.1	LOC102656377	uncharacterized LOC102656377
XR_001702702.1	LOC107964282	uncharacterized LOC107964282
XR_001702703.1	LOC107964283	uncharacterized LOC107964283
XR_001702704.1	LOC410986	dorsal-ventral patterning tolloid-like protein 1
XR_001702705.1	LOC410986	dorsal-ventral patterning tolloid-like protein 1
XR_001702706.1	LOC552171	uncharacterized LOC552171
XR_001702707.1	LOC102656496	uncharacterized LOC102656496
XR_001702708.1	LOC102656496	uncharacterized LOC102656496
XR_001702709.1	LOC102656496	uncharacterized LOC102656496
XR_001702710.1	LOC102656496	uncharacterized LOC102656496
XR_001702711.1	LOC107964285	uncharacterized LOC107964285
XR_001702712.1	LOC107964286	uncharacterized LOC107964286
XR_001702713.1	LOC107964287	uncharacterized LOC107964287
XR_001702714.1	LOC107964288	uncharacterized LOC107964288
XR_001702715.1	LOC107964289	uncharacterized LOC107964289
XR_001702716.1	LOC107964291	uncharacterized LOC107964291
XR_001702717.1	LOC100576929	uncharacterized LOC100576929
XR_001702718.1	LOC100576929	uncharacterized LOC100576929
XR_001702719.1	LOC100576929	uncharacterized LOC100576929
XR_001702720.1	LOC100576929	uncharacterized LOC100576929
XR_001702721.1	LOC100576929	uncharacterized LOC100576929
XR_001702722.1	LOC107964292	uncharacterized LOC107964292
XR_001702723.1	LOC100576283	uncharacterized LOC100576283
XR_001702724.1	LOC100576283	uncharacterized LOC100576283
XR_001702725.1	LOC100576283	uncharacterized LOC100576283
XR_001702726.1	LOC100576283	uncharacterized LOC100576283
XR_001702727.1	LOC100576283	uncharacterized LOC100576283
XR_001702728.1	LOC107964294	uncharacterized LOC107964294
XR_001702729.1	LOC107964295	uncharacterized LOC107964295
XR_001702730.1	LOC107964297	uncharacterized LOC107964297
XR_001702731.1	LOC107964297	uncharacterized LOC107964297
XR_001702732.1	LOC107964298	uncharacterized LOC107964298
XR_001702733.1	LOC107964299	uncharacterized LOC107964299
XR_001702734.1	LOC107964300	uncharacterized LOC107964300
XR_001702735.1	LOC107964301	uncharacterized LOC107964301
XR_001702736.1	LOC107964302	uncharacterized LOC107964302
XR_001702737.1	LOC107964303	uncharacterized LOC107964303
XR_001702738.1	LOC102654066	uncharacterized LOC102654066
XR_001702739.1	LOC102654066	uncharacterized LOC102654066
XR_001702740.1	LOC102654066	uncharacterized LOC102654066
XR_001702741.1	LOC102654066	uncharacterized LOC102654066
XR_001702742.1	LOC102654066	uncharacterized LOC102654066
XR_001702743.1	LOC102654066	uncharacterized LOC102654066
XR_001702744.1	LOC102654066	uncharacterized LOC102654066
XR_001702745.1	LOC102654066	uncharacterized LOC102654066
XR_001702746.1	LOC102654066	uncharacterized LOC102654066
XR_001702747.1	LOC102654066	uncharacterized LOC102654066
XR_001702748.1	LOC107964305	uncharacterized LOC107964305
XR_001702749.1	LOC408766	phosphatidylcholine:ceramide cholinephosphotransferase 2-like
XR_001702750.1	LOC102654638	uncharacterized LOC102654638
XR_001702751.1	LOC726671	uncharacterized LOC726671
XR_001702752.1	LOC726671	uncharacterized LOC726671
XR_001702753.1	LOC107964306	uncharacterized LOC107964306
XR_001702754.1	LOC107964307	uncharacterized LOC107964307
XR_001702755.1	LOC107964309	uncharacterized LOC107964309
XR_001702756.1	LOC107964310	uncharacterized LOC107964310
XR_001702757.1	LOC107964311	uncharacterized LOC107964311
XR_001702758.1	LOC107964312	uncharacterized LOC107964312
XR_001702759.1	LOC107964313	uncharacterized LOC107964313
XR_001702760.1	LOC102655821	uncharacterized LOC102655821
XR_001702761.1	LOC102655821	uncharacterized LOC102655821
XR_001702762.1	LOC102655821	uncharacterized LOC102655821
XR_001702763.1	LOC102654024	uncharacterized LOC102654024
XR_001702764.1	LOC107964314	uncharacterized LOC107964314
XR_001702765.1	LOC102654156	uncharacterized LOC102654156
XR_001702766.1	LOC102654156	uncharacterized LOC102654156
XR_001702767.1	LOC102654156	uncharacterized LOC102654156
XR_001702768.1	LOC102654156	uncharacterized LOC102654156
XR_001702769.1	LOC107964315	uncharacterized LOC107964315
XR_001702770.1	LOC107964316	uncharacterized LOC107964316
XR_001702771.1	LOC107964317	uncharacterized LOC107964317
XR_001702772.1	LOC107964318	uncharacterized LOC107964318
XR_001702773.1	LOC107964318	uncharacterized LOC107964318
XR_001702774.1	LOC102655676	uncharacterized LOC102655676
XR_001702775.1	LOC107964320	uncharacterized LOC107964320
XR_001702776.1	LOC107964322	uncharacterized LOC107964322
XR_001702777.1	LOC107964323	uncharacterized LOC107964323
XR_001702778.1	LOC107964324	uncharacterized LOC107964324
XR_001702779.1	LOC107964324	uncharacterized LOC107964324
XR_001702780.1	LOC107964325	uncharacterized LOC107964325
XR_001702781.1	LOC107964326	uncharacterized LOC107964326
XR_001702782.1	LOC107964327	uncharacterized LOC107964327
XR_001702783.1	LOC107964327	uncharacterized LOC107964327
XR_001702784.1	LOC107964330	uncharacterized LOC107964330
XR_001702785.1	LOC102655725	uncharacterized LOC102655725
XR_001702786.1	LOC107964331	uncharacterized LOC107964331
XR_001702787.1	LOC107964332	uncharacterized LOC107964332
XR_001702788.1	LOC102656089	uncharacterized LOC102656089
XR_001702789.1	LOC102656089	uncharacterized LOC102656089
XR_001702790.1	LOC102656089	uncharacterized LOC102656089
XR_001702791.1	LOC102656089	uncharacterized LOC102656089
XR_001702792.1	LOC102654688	uncharacterized LOC102654688
XR_001702793.1	LOC102654720	uncharacterized LOC102654720
XR_001702794.1	LOC107964334	uncharacterized LOC107964334
XR_001702795.1	LOC726817	pancreatic triacylglycerol lipase-like
XR_001702796.1	LOC726817	pancreatic triacylglycerol lipase-like
XR_001702797.1	LOC409807	arginine kinase-like
XR_001702798.1	LOC102655409	uncharacterized LOC102655409
XR_001702799.1	LOC102655409	uncharacterized LOC102655409
XR_001702800.1	LOC102655409	uncharacterized LOC102655409
XR_001702801.1	LOC102655409	uncharacterized LOC102655409
XR_001702802.1	LOC102655409	uncharacterized LOC102655409
XR_001702803.1	LOC107964336	uncharacterized LOC107964336
XR_001702804.1	LOC107964336	uncharacterized LOC107964336
XR_001702805.1	LOC408777	no mechanoreceptor potential C
XR_001702806.1	LOC408777	no mechanoreceptor potential C
XR_001702807.1	LOC107964337	uncharacterized LOC107964337
XR_001702808.1	LOC408811	transmembrane and coiled-coil domains protein 2
XR_001702809.1	LOC107964341	uncharacterized LOC107964341
XR_001702810.1	LOC107964342	uncharacterized LOC107964342
XR_001702811.1	LOC100577824	uncharacterized LOC100577824
XR_001702812.1	LOC726378	anaphase-promoting complex subunit 11-like
XR_001702813.1	LOC100577824	uncharacterized LOC100577824
XR_001702814.1	LOC107964344	uncharacterized LOC107964344
XR_001702815.1	LOC724781	uncharacterized LOC724781
XR_001702816.1	LOC107964345	uncharacterized LOC107964345
XR_001702817.1	LOC107964345	uncharacterized LOC107964345
XR_001702818.1	LOC107964347	uncharacterized LOC107964347
XR_001702819.1	LOC107964347	uncharacterized LOC107964347
XR_001702820.1	LOC107964347	uncharacterized LOC107964347
XR_001702821.1	LOC107964346	uncharacterized LOC107964346
XR_001702822.1	LOC107964348	uncharacterized LOC107964348
XR_001702823.1	LOC411640	DNA replication licensing factor Mcm2
XR_001702824.1	LOC107964352	uncharacterized LOC107964352
XR_001702825.1	LOC107964352	uncharacterized LOC107964352
XR_001702826.1	LOC107964352	uncharacterized LOC107964352
XR_001702827.1	LOC412013	chorion peroxidase
XR_001702828.1	LOC102655177	uncharacterized LOC102655177
XR_001702829.1	LOC102655177	uncharacterized LOC102655177
XR_001702830.1	LOC102655177	uncharacterized LOC102655177
XR_001702831.1	LOC102655177	uncharacterized LOC102655177
XR_001702832.1	LOC102655177	uncharacterized LOC102655177
XR_001702833.1	LOC107964353	uncharacterized LOC107964353
XR_001702834.1	LOC107964353	uncharacterized LOC107964353
XR_001702835.1	LOC107964354	uncharacterized LOC107964354
XR_001702836.1	LOC727136	uncharacterized LOC727136
XR_001702837.1	LOC409588	putative thiamine transporter SLC35F3
XR_001702838.1	LOC409588	putative thiamine transporter SLC35F3
XR_001702839.1	LOC409588	putative thiamine transporter SLC35F3
XR_001702840.1	LOC107964357	uncharacterized LOC107964357
XR_001702841.1	LOC102653803	uncharacterized LOC102653803
XR_001702842.1	LOC107964358	uncharacterized LOC107964358
XR_001702843.1	LOC107964359	uncharacterized LOC107964359
XR_001702844.1	LOC107964360	uncharacterized LOC107964360
XR_001702845.1	LOC107964360	uncharacterized LOC107964360
XR_001702846.1	LOC107964360	uncharacterized LOC107964360
XR_001702847.1	LOC107964360	uncharacterized LOC107964360
XR_001702848.1	LOC107964361	uncharacterized LOC107964361
XR_001702849.1	LOC107964362	uncharacterized LOC107964362
XR_001702850.1	LOC107964362	uncharacterized LOC107964362
XR_001702851.1	LOC102653946	uncharacterized LOC102653946
XR_001702852.1	LOC102653946	uncharacterized LOC102653946
XR_001702853.1	LOC102653946	uncharacterized LOC102653946
XR_001702854.1	LOC102653946	uncharacterized LOC102653946
XR_001702855.1	LOC102653946	uncharacterized LOC102653946
XR_001702856.1	LOC102653946	uncharacterized LOC102653946
XR_001702857.1	LOC102653946	uncharacterized LOC102653946
XR_001702858.1	LOC102653946	uncharacterized LOC102653946
XR_001702859.1	LOC107964363	uncharacterized LOC107964363
XR_001702860.1	LOC107964364	uncharacterized LOC107964364
XR_001702861.1	LOC107964364	uncharacterized LOC107964364
XR_001702862.1	LOC102656802	uncharacterized LOC102656802
XR_001702863.1	LOC726841	focadhesin
XR_001702864.1	LOC726776	uncharacterized aarF domain-containing protein kinase 2-like
XR_001702865.1	LOC107964406	uncharacterized LOC107964406
XR_001702866.1	LOC107964406	uncharacterized LOC107964406
XR_001702867.1	LOC107964407	uncharacterized LOC107964407
XR_001702868.1	LOC107964408	uncharacterized LOC107964408
XR_001702869.1	LOC107964408	uncharacterized LOC107964408
XR_001702870.1	LOC100577042	uncharacterized LOC100577042
XR_001702871.1	LOC100577042	uncharacterized LOC100577042
XR_001702872.1	LOC100577042	uncharacterized LOC100577042
XR_001702873.1	LOC100577042	uncharacterized LOC100577042
XR_001702874.1	LOC100577042	uncharacterized LOC100577042
XR_001702875.1	LOC107964410	uncharacterized LOC107964410
XR_001702876.1	LOC102654295	uncharacterized LOC102654295
XR_001702877.1	LOC107964411	uncharacterized LOC107964411
XR_001702878.1	LOC408843	F-box/WD repeat-containing protein 9
XR_001702879.1	LOC107964413	uncharacterized LOC107964413
XR_001702880.1	LOC107963997	uncharacterized LOC107963997
XR_001702881.1	LOC102656297	uncharacterized LOC102656297
XR_001702882.1	LOC102656297	uncharacterized LOC102656297
XR_001702883.1	LOC107964414	uncharacterized LOC107964414
XR_001702884.1	LOC107964416	uncharacterized LOC107964416
XR_001702885.1	LOC107964418	uncharacterized LOC107964418
XR_001702886.1	LOC102655751	uncharacterized LOC102655751
XR_001702887.1	LOC102655751	uncharacterized LOC102655751
XR_001702888.1	LOC102655751	uncharacterized LOC102655751
XR_001702889.1	LOC102655751	uncharacterized LOC102655751
XR_001702890.1	LOC107964420	uncharacterized LOC107964420
XR_001702891.1	LOC107964422	uncharacterized LOC107964422
XR_001702892.1	LOC107964422	uncharacterized LOC107964422
XR_001702893.1	LOC107964422	uncharacterized LOC107964422
XR_001702894.1	LOC107964422	uncharacterized LOC107964422
XR_001702895.1	LOC107964422	uncharacterized LOC107964422
XR_001702896.1	LOC107964422	uncharacterized LOC107964422
XR_001702897.1	LOC107964422	uncharacterized LOC107964422
XR_001702898.1	LOC107964422	uncharacterized LOC107964422
XR_001702899.1	LOC107964422	uncharacterized LOC107964422
XR_001702900.1	LOC107964423	uncharacterized LOC107964423
XR_001702901.1	LOC107964424	uncharacterized LOC107964424
